Sleepy Servlet,1,11,22,55,66,23,34
Grumpy Gopher,2,23,56,67,54,12,111
Sneezy Sandbox,3,34,54,67,78,34,12
Doc Datamine,1,34,65,89,23,78,23
Bashful Bandwidth,2,54,78,90,45,34,97
Dopey Desktop,3,34,65,78,89,98,34,78
Happy Hyperlink,3,34,54,67,87,88,78
Proud Packet,2,54,65,67,89,34,65,87
Luxuria Laptop,1,54,65,67,89,98,56
Slothful Screenshot,1,65,78,89,89,34,23
Avaricious Algorithm,2,45,65,67,87,89,89
Irate Iteration,2,54,56,67,87,89,65
Gluttonous Gui,1,54,65,67,87,89,89
Envious Ethernet,3,67,78,89,89,87,45
